customerID,tenure,MonthlyCharges,TotalCharges,Churn,num_internet_addons,num_streaming_services,total_services,has_premium_support,avg_monthly_charges,clv_ratio,is_early_tenure,is_month_to_month,contract_months,has_paperless_billing,has_automatic_payment,uses_electronic_check,gender_Male,SeniorCitizen_1,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,1,29.85,29.85,No,1,0,1,0,14.925,0.9996651038178164,1,1,0,1,0,1,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
5575-GNVDE,34,56.95,1889.5,No,2,0,3,0,53.98571428571429,33.17240168539326,0,0,12,0,0,0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
3668-QPYBK,2,53.85,108.15,Yes,2,0,3,0,36.050000000000004,2.007983661344226,1,1,0,1,0,0,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7795-CFOCW,45,42.3,1840.75,No,3,0,3,1,40.016304347826086,43.506263294729386,0,0,12,0,1,0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
9237-HQITU,2,70.7,151.65,Yes,0,0,1,0,50.550000000000004,2.144675434874841,1,1,0,1,0,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
9305-CDSKC,8,99.65,820.5,Yes,1,2,4,0,91.16666666666667,8.232992173389523,0,1,0,1,0,1,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
1452-KIOVK,22,89.1,1949.4,No,1,1,3,0,84.75652173913043,21.876332622601282,0,1,0,1,1,0,True,False,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False
6713-OKOMC,10,29.75,301.9,No,1,0,1,0,27.44545454545454,10.144489247311826,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
7892-POOKP,28,104.8,3046.05,Yes,2,2,5,0,105.03620689655173,29.0625894475718,0,1,0,1,0,1,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
6388-TABGU,62,56.15,3487.95,No,2,0,3,0,55.364285714285714,62.107371794871796,0,0,12,0,1,0,True,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9763-GRSKD,13,49.95,587.45,No,1,0,2,0,41.96071428571429,11.758406725380304,0,1,0,1,0,0,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
7469-LKBCI,16,18.95,326.8,No,0,0,1,0,19.223529411764705,17.236286919831223,0,0,24,0,1,0,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
8091-TTVAX,58,100.35,5681.1,No,1,2,4,0,96.28983050847458,56.607214029493825,0,0,12,0,1,0,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False
0280-XJGEX,49,103.7,5036.3,Yes,2,2,5,0,100.726,48.561373059492816,0,1,0,1,1,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False
5129-JLPIS,25,105.5,2686.05,No,3,2,6,1,103.3096153846154,25.457776514074496,0,1,0,1,0,1,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False
3655-SNQYZ,69,113.25,7895.15,No,4,2,7,1,112.78785714285713,69.70819353699451,0,0,24,0,1,0,False,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
8191-XWSZG,52,20.65,1022.95,No,0,0,1,0,19.300943396226415,49.5135527589545,0,0,12,0,0,0,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True
9959-WOFKT,71,106.7,7382.25,No,2,2,5,0,102.53125,69.18048917627213,0,0,24,0,1,0,True,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False
4190-MFLUW,10,55.2,528.35,Yes,2,0,3,0,48.03181818181818,9.569824307190727,0,1,0,0,1,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False
